dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
e989405d39ece932b812f197bb5701c892cf558181a0cc8ab9a7555a24bab255,Suplantación quizá es posible,ba650f96bd1a94336833ae0260130e81232e12a6a620861c2b50ff5047d1a602,['environmental services & clean energy'],Celrà,Catalunya
58f0a487c4afa892980d43d761f465a21d0aeaeb78d7f7fd38d76e9462997886,Suplantación NO es posible,c293c3532bb0fc87d2969be1f096f4fa4b384982ce5657e746579456888a5f58,['environmental services & clean energy'],Celrà,Catalunya
328e7726a16d153f031e16600e19a237bc1edc6f47d64bd1542065b98b503331,Suplantación posible,e4f61549c1ddb29e22ff42aee71cefa1560113a13dcaeede8c9d0a665c8923ec,['environmental services & clean energy'],Celrà,Catalunya
01b9925b704e0a7716853a095feddba64577b2dd7c16538353d3440253880ba8,Suplantación posible,c1fac0e6e7b47275cd2cfae73eaa89ed246a6a35bd3d301d974ad0a0e3c9a6e4,['environmental services & clean energy'],Celrà,Catalunya
c7f7d947ad529954711a2aa783b7d7c5f7e7dde97cac409233df93c4b7d4e575,Suplantación posible,93d4b4746a68169cdc50ce300fb518375e5d47582fe793c8ea08a42875710093,['environmental services & clean energy'],Celrà,Catalunya
6a0f2b8735f9cc564f9e04f254f75c1ab07ff0191bf3d8867229cdd4da4319bd,Suplantación NO es posible,b226e960970506f245ecb84d4f94db6a870c14df405f53d5c2cf94cb1e09ed41,['information technology & services'],Barcelona,Catalonia
2a78adda4b09087ab1cf7d49819584f09791043a093bddb2f22044ff6bd35f79,Suplantación posible,6603f6b4ac7c2733d4430f8a649398d5300d6673da1f5eccee23c2968121d347,['government administration'],Vitoria-Gasteiz,Basque Country
7bcdf22f20e74f2c41beed5306e140a38985eabc0f1441e13c636e3c32fcb707,Suplantación posible,b82c4995fa03bc45c0b15f79582d23b391fec48c5d7bdd1cd162cc72826f3f9d,['government administration'],Vitoria-Gasteiz,Basque Country
31cf9026d56cfa7d378eff75d18fe04f7d0d817a45d50a4f9d10d0430acaef57,Suplantación posible,5ddf84288d1805bbbaba566100545bb6b491a3fdc452b40e755396f546848963,['management consulting'],Madrid,Comunidad de Madrid
4ea432da3880130d4627394a10143a8b64cea4dd3371e31fd91640b072a15f59,Suplantación posible,608ab5af4d33d2c1a456050d079850c633dafe6f6c21d90b7d5ab2ac2820d950,['management consulting'],Madrid,Comunidad de Madrid
a645e38ee0c095f67cea7c3e6e085166aadac753a7812c53f0898193d7d55964,Suplantación posible,8a6e18d2f498fe90bde45280b088044827e69fb764916da963869ebfe3cf93c1,['management consulting'],Madrid,Comunidad de Madrid
c7dd52bde3c9fe4be5b6ce736c96f3ecce58e0936cb5fbfc30a349bc1744feaf,Suplantación posible,782d6c057148f96866f3ded068286e32240d5a55cdaf8d1d85c92bae9b0825cd,['management consulting'],Madrid,Comunidad de Madrid
